28.6953460929 , 77.2181901981
28.6954145164 , 77.2179875662
28.6954801272 , 77.217798852
28.6955236034 , 77.2176821315
28.6956602341 , 77.2173165415
28.6960352539 , 77.2163116019
28.6961370965 , 77.2160533973
28.6962412209 , 77.2157568639
28.6964857214 , 77.2150891466
28.6965650137 , 77.2148740804
28.6967666047 , 77.2143225856
28.696871606 , 77.2140128024
28.6968591969 , 77.2140469097
28.6969327417 , 77.2138728787
28.696968737 , 77.2137899433
28.6970520331 , 77.2135912088
28.6974565916 , 77.2125517096
28.6979357035 , 77.2113170453
