28.6278674003 , 77.2429887061
28.6278365378 , 77.2429921365
28.628186777 , 77.2429761603
28.6282379731 , 77.2429729607
28.6283066997 , 77.2429711987
28.6288242148 , 77.2429259538
28.6289910557 , 77.2429149247
28.6290704628 , 77.2429074326
28.6292839632 , 77.2428906073
28.6294294375 , 77.2428785961
28.6296845499 , 77.2428587679
28.6298426062 , 77.242846611
28.6301896354 , 77.2428098095
28.63068836 , 77.2427768226
28.6309308372 , 77.2427541336
28.6315674318 , 77.2426992595
28.6320364127 , 77.2426451425
28.6323970632 , 77.2426053727
28.6324264686 , 77.2426016198
28.6324919317 , 77.2425977703
28.6325915814 , 77.2425889735
28.6328512437 , 77.2425703465
28.6328675344 , 77.2425703465
28.6331802513 , 77.2425599222
28.63327791 , 77.242555325
28.6335934599 , 77.242552593
28.6345189784 , 77.242500957
28.6346180021 , 77.2425018913
