28.5737120832 , 77.2594186763
28.5737843625 , 77.2593624689
28.5737971147 , 77.259351709
28.5738613827 , 77.2593068991
28.5741077927 , 77.2590851588
28.5742029559 , 77.2590030507
28.5742328399 , 77.2589772533
28.5746317663 , 77.2586665444
28.5747833814 , 77.2585489438
28.5748630742 , 77.2584877244
28.5749305506 , 77.2584376648
28.5751665284 , 77.2582626685
28.5755106487 , 77.2580097826
28.5755664075 , 77.2579669673
28.5757241424 , 77.2578518139
28.5766007198 , 77.257204204
28.5770703709 , 77.2568506373
28.577145927 , 77.2567963151
28.5771950051 , 77.2567594837
28.577813903 , 77.2562875663
28.5779006995 , 77.2562216743
28.5778947815 , 77.2562275825
28.5778416495 , 77.256266208
28.5779016826 , 77.2562204362
28.5780416559 , 77.256115417
28.5782327275 , 77.2559721323
28.5784956327 , 77.2557762899
28.5785380378 , 77.2557444842
28.5794391814 , 77.2550743847
28.5802696944 , 77.2544371625
28.5803920063 , 77.2543477855
28.5804414326 , 77.2543120382
28.5805314988 , 77.2542459473
