28.5993265186 , 77.1648853809
28.5994751824 , 77.1647367238
28.5995618469 , 77.1646484577
28.5998265585 , 77.1643712175
28.6002485943 , 77.1638252325
28.6003080866 , 77.163752514
28.6005126675 , 77.1634887322
28.6006238273 , 77.1633472334
28.6012053284 , 77.1625732321
28.6013683353 , 77.1623568207
28.6016535374 , 77.1619587101
28.6020797006 , 77.1613744517
28.6023590497 , 77.1610084175
28.6025026566 , 77.1608196784
28.6027925421 , 77.1604418386
28.6028830066 , 77.1603195289
28.6029025381 , 77.1602945695
28.6033433466 , 77.1597095768
28.6035052535 , 77.1594937105
28.6039032628 , 77.1589633966
28.6042276132 , 77.1585337601
28.6044115239 , 77.1582690658
28.6046626008 , 77.157871683
28.604919033 , 77.1574049512
28.6050527177 , 77.1570565912
28.6051268909 , 77.156849665
28.6051814694 , 77.1566535624
