28.5654188763 , 77.2091752768
28.5655180531 , 77.2091854558
28.5655939067 , 77.2091878261
28.5655766536 , 77.2091869177
28.5655763291 , 77.2091868739
28.5656198174 , 77.2091924927
28.5657931792 , 77.2092153611
28.5660148776 , 77.2092507894
28.5660201234 , 77.2092517954
28.5659165737 , 77.2092199231
28.5660572454 , 77.2092885202
28.5664101549 , 77.2093767426
28.5666531196 , 77.2094378331
28.5667154982 , 77.2094525915
28.5672755579 , 77.2095831494
28.5674602908 , 77.2096314045
28.5676973792 , 77.2096847471
