28.664373184 , 77.1343087751
28.6644520765 , 77.1343982453
28.6645164337 , 77.1344742972
28.6647955477 , 77.1348024384
28.6648552769 , 77.1348718997
28.6650153705 , 77.1350586425
28.6651085735 , 77.1351707697
28.665601146 , 77.1357588382
28.6657190108 , 77.1358961138
28.6658743578 , 77.1360788722
28.6664493371 , 77.1367594946
28.6665956348 , 77.1369327258
28.6667605516 , 77.1371329497
28.6668713532 , 77.1372662511
28.6669472076 , 77.1373543112
28.6670999344 , 77.1375375186
28.6672355598 , 77.1377000677
