timestamp,Road Type,Free Flow Time,Free Flow Speed,Current Time,Current Speed
2019-07-02 14:20:54.629857,FRC1,41,40,68,24
2019-07-02 14:35:56.076547,FRC1,42,39,86,19
2019-07-02 14:50:57.379227,FRC1,41,40,150,11
2019-07-02 15:05:59.241325,FRC1,41,40,82,20
2019-07-02 15:21:01.901133,FRC1,42,39,86,19
2019-07-02 15:36:04.422035,FRC1,41,40,55,30
2019-07-02 15:51:06.912069,FRC1,41,40,66,25
2019-07-02 16:06:10.114528,FRC1,42,39,66,25
2019-07-02 16:21:11.610660,FRC1,42,39,59,28
2019-07-02 16:36:12.889642,FRC1,42,39,55,30
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185149,FRC1,42,39,53,31
2019-07-02 15:45:57.727555,FRC1,41,40,63,26
2019-07-02 16:00:58.932629,FRC1,41,40,41,40
2019-07-02 16:16:00.370917,FRC1,41,40,61,27
2019-07-02 16:31:01.523167,FRC1,41,40,68,24
2019-07-02 16:46:02.933737,FRC1,41,40,55,30
2019-07-02 17:01:04.099018,FRC1,42,39,55,30
2019-07-02 17:16:07.722449,FRC1,42,39,55,30
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.222508,FRC1,42,39,53,31
2019-07-02 15:45:52.081072,FRC1,41,40,63,26
2019-07-02 16:00:54.096628,FRC1,41,40,41,40
2019-07-02 16:15:59.102398,FRC1,41,40,61,27
2019-07-02 16:31:00.332226,FRC1,41,40,68,24
2019-07-02 16:46:01.639299,FRC1,41,40,55,30
2019-07-02 17:01:03.627985,FRC1,42,39,55,30
2019-07-02 17:16:08.336559,FRC1,42,39,55,30
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183530,FRC1,42,39,53,31
2019-07-02 15:46:14.816661,FRC1,41,40,68,24
2019-07-02 16:01:16.815570,FRC1,41,40,41,40
2019-07-02 16:16:18.184852,FRC1,41,40,61,27
2019-07-02 16:31:19.406522,FRC1,41,40,68,24
2019-07-02 16:46:20.756848,FRC1,41,40,55,30
2019-07-02 17:01:21.915900,FRC1,42,39,55,30
2019-07-02 17:16:27.792619,FRC1,42,39,55,30
