newtimestamp,Current Time(seconds),Nox,Nox(target)
07/07/19 11:15,55,18.9,20.5
7/7/19 11:35,42,20.5,17.9
7/7/19 11:50,59,17.9,21.3
7/7/19 12:05,42,21.3,23.5
7/7/19 12:20,53,23.5,22.6
7/7/19 12:35,66,22.6,19.1
7/7/19 12:50,63,19.1,18.6
7/7/19 13:05,68,18.6,41.1
7/7/19 13:20,55,41.1,22.4
7/7/19 13:35,59,22.4,20.4
7/7/19 13:50,68,20.4,20.4
7/7/19 14:05,103,20.4,22.3
7/7/19 14:20,55,22.3,38.7
7/7/19 14:35,55,38.7,38
7/7/19 14:50,53,38,34.2
7/7/19 15:05,56,34.2,38.7
7/7/19 15:20,42,38.7,30
7/7/19 15:35,75,30,30.8
7/7/19 15:50,56,30.8,41.9
7/7/19 16:05,41,41.9,48
7/7/19 16:20,42,48,35.4
7/7/19 16:35,63,35.4,32.4
7/7/19 16:50,61,32.4,29.8
7/7/19 17:05,63,29.8,37.7
7/7/19 17:20,63,37.7,37.5
7/7/19 17:35,71,37.5,39.9
7/7/19 17:50,66,39.9,44.9
7/7/19 18:05,56,44.9,57.2
7/7/19 18:20,42,57.2,67
7/7/19 18:35,66,67,86.3
7/7/19 18:50,42,86.3,78.5
7/7/19 19:05,41,78.5,81.7
7/7/19 19:20,42,81.7,84.3
7/7/19 19:35,61,84.3,97.9
7/7/19 19:50,42,97.9,116
7/7/19 20:05,71,116,109.6
7/7/19 20:20,55,109.6,121.3
7/7/19 20:35,63,121.3,144.3
7/7/19 20:50,41,144.3,155.1
7/7/19 21:05,56,155.1,146.7
7/7/19 21:20,61,146.7,147.1
7/7/19 21:35,41,147.1,165.5
7/7/19 21:50,41,165.5,176.2
7/7/19 22:05,41,176.2,192.6
7/7/19 22:20,41,192.6,212.8
7/7/19 22:35,41,212.8,225.3
7/7/19 22:50,41,225.3,228.3
7/7/19 23:05,41,228.3,225.9
7/7/19 23:20,42,225.9,226
7/7/19 23:35,42,226,231.5
7/7/19 23:50,42,231.5,261
8/7/19 0:00,42,261,216.8
8/7/19 0:15,42,216.8,172.1
8/7/19 0:30,42,172.1,134.1
8/7/19 0:45,42,134.1,115.4
8/7/19 1:00,42,115.4,130.1
8/7/19 1:15,42,130.1,148.4
8/7/19 1:30,42,148.4,154
8/7/19 1:45,42,154,NaN
8/7/19 2:00,42,NaN,NaN
8/7/19 2:15,42,NaN,154.5
8/7/19 2:30,42,154.5,182.9
8/7/19 2:45,42,182.9,205.4
8/7/19 3:00,42,205.4,205.4
8/7/19 3:15,42,205.4,204.1
8/7/19 3:30,42,204.1,204.3
8/7/19 3:45,42,204.3,200.6
8/7/19 4:00,42,200.6,191.7
8/7/19 4:15,42,191.7,186.1
8/7/19 4:30,42,186.1,197.3
8/7/19 4:45,42,197.3,200.3
8/7/19 5:00,42,200.3,192.7
8/7/19 5:15,42,192.7,181.8
8/7/19 5:30,0,181.8,166.2
8/7/19 5:45,0,166.2,153.6
8/7/19 6:00,0,153.6,139.7
8/7/19 6:15,0,139.7,132.3
8/7/19 6:30,0,132.3,117.1
8/7/19 6:45,0,117.1,112.8
8/7/19 7:00,0,112.8,110.7
8/7/19 7:15,0,110.7,107.2
8/7/19 7:30,0,107.2,104.4
